,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
65,3,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
66,4,blue-collar,single,basic.education,no,yes,no,telephone,may,mon,91,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
68,5,admin.,married,basic.education,no,yes,no,telephone,may,mon,158,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
70,4,management,married,basic.education,no,no,no,telephone,may,mon,200,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
71,4,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
76,5,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
84,3,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
85,3,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
86,4,management,married,basic.education,no,no,no,telephone,may,mon,529,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
87,3,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
88,4,technician,married,basic.education,no,no,no,telephone,may,mon,1467,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
89,3,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
90,3,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
93,3,unemployed,married,basic.education,no,no,no,telephone,may,mon,545,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
94,4,blue-collar,married,basic.education,no,no,yes,telephone,may,mon,583,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
95,4,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
96,4,management,married,university.degree,no,no,no,telephone,may,mon,426,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
98,3,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
99,4,blue-collar,married,basic.education,no,no,no,telephone,may,mon,257,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
101,4,blue-collar,married,basic.education,no,no,no,telephone,may,mon,55,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
103,5,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
104,5,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
106,3,housemaid,married,basic.education,no,yes,no,telephone,may,mon,300,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
107,3,admin.,married,high.school,no,yes,no,telephone,may,mon,123,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
112,3,services,divorced,high.school,no,yes,no,telephone,may,mon,194,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
114,3,management,married,university.degree,no,no,no,telephone,may,mon,337,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
115,3,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
116,5,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
121,4,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
122,4,services,married,high.school,no,no,no,telephone,may,mon,139,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
123,4,technician,married,high.school,no,yes,no,telephone,may,mon,79,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
124,3,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
125,4,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
126,5,admin.,married,basic.education,no,no,no,telephone,may,mon,61,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
127,3,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
128,5,retired,married,basic.education,no,yes,no,telephone,may,mon,102,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
130,3,blue-collar,married,basic.education,no,yes,yes,telephone,may,mon,143,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
133,3,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,345,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
134,5,management,married,university.degree,no,no,no,telephone,may,mon,185,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
135,3,management,divorced,university.degree,no,no,no,telephone,may,mon,207,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
138,3,services,married,high.school,no,yes,no,telephone,may,mon,125,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
140,4,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
142,3,management,married,university.degree,no,yes,no,telephone,may,mon,193,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
143,5,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,136,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
147,3,admin.,single,high.school,no,yes,no,telephone,may,mon,338,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
149,5,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,87,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
155,3,blue-collar,married,basic.education,no,yes,yes,telephone,may,mon,98,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
158,4,technician,single,professional.course,no,yes,no,telephone,may,mon,186,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
159,5,services,married,high.school,no,no,no,telephone,may,mon,579,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
160,2,management,single,university.degree,no,yes,no,telephone,may,mon,165,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
165,3,entrepreneur,married,basic.education,no,no,no,telephone,may,mon,85,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
166,3,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
169,5,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
172,4,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
174,4,services,married,high.school,no,no,no,telephone,may,mon,93,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
175,4,management,married,basic.education,no,no,no,telephone,may,mon,128,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
176,4,services,married,high.school,no,yes,yes,telephone,may,mon,107,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
177,5,admin.,single,basic.education,no,no,no,telephone,may,mon,303,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
178,2,services,married,high.school,no,yes,no,telephone,may,mon,81,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
179,3,blue-collar,married,basic.education,no,no,no,telephone,may,mon,270,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
180,3,technician,married,high.school,no,no,no,telephone,may,mon,228,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
182,4,blue-collar,married,basic.education,no,yes,yes,telephone,may,mon,673,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
183,3,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
185,5,management,married,university.degree,no,no,no,telephone,may,mon,461,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
189,3,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
190,4,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
191,3,blue-collar,single,basic.education,no,yes,no,telephone,may,mon,179,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
192,4,management,divorced,university.degree,no,no,no,telephone,may,mon,19,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
193,4,technician,married,university.degree,no,no,no,telephone,may,mon,228,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
195,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,717,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
199,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,1077,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
200,3,services,married,high.school,no,no,no,telephone,may,mon,146,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
201,3,services,single,basic.education,no,no,no,telephone,may,mon,167,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
202,3,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
204,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,172,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
207,3,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
208,3,services,single,basic.education,no,no,no,telephone,may,mon,291,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
210,3,student,single,basic.education,no,yes,no,telephone,may,mon,256,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
211,5,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
212,5,admin.,married,university.degree,no,no,no,telephone,may,mon,477,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
219,4,services,married,high.school,no,no,no,telephone,may,mon,322,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
220,3,admin.,married,high.school,no,yes,no,telephone,may,mon,216,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
224,4,technician,married,basic.education,no,no,no,telephone,may,mon,168,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
225,5,retired,married,university.degree,no,no,no,telephone,may,mon,132,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
226,4,technician,married,university.degree,no,no,no,telephone,may,mon,64,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
227,3,admin.,single,university.degree,no,no,no,telephone,may,mon,209,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
229,4,blue-collar,married,basic.education,no,yes,yes,telephone,may,mon,177,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
230,3,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
231,5,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
235,4,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
236,5,blue-collar,married,basic.education,no,no,no,telephone,may,mon,136,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
237,4,admin.,married,high.school,no,no,no,telephone,may,mon,125,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
240,5,retired,married,high.school,no,no,no,telephone,may,mon,238,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
241,3,technician,single,professional.course,no,no,no,telephone,may,mon,124,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
242,3,management,married,university.degree,no,yes,no,telephone,may,mon,18,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
243,3,services,single,basic.education,no,no,no,telephone,may,mon,730,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
246,3,technician,single,professional.course,no,no,no,telephone,may,mon,79,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
247,3,technician,single,high.school,no,yes,no,telephone,may,mon,142,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
248,3,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
249,3,services,single,high.school,no,no,no,telephone,may,mon,702,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
250,4,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
251,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,211,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
252,5,services,married,basic.education,no,yes,no,telephone,may,mon,117,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
253,3,technician,married,professional.course,no,yes,no,telephone,may,mon,232,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
255,5,services,married,high.school,no,yes,yes,telephone,may,mon,370,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
257,4,management,married,basic.education,no,no,yes,telephone,may,mon,46,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
259,3,admin.,married,high.school,no,no,yes,telephone,may,mon,50,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
260,3,admin.,married,high.school,no,no,yes,telephone,may,mon,181,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
262,4,technician,married,high.school,no,no,no,telephone,may,mon,361,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
263,4,admin.,divorced,basic.education,no,no,no,telephone,may,mon,73,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
264,4,admin.,married,university.degree,no,no,no,telephone,may,mon,67,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
265,2,blue-collar,single,basic.education,no,no,no,telephone,may,mon,350,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
266,3,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
268,5,management,divorced,university.degree,no,no,no,telephone,may,mon,611,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
271,4,management,divorced,university.degree,no,no,no,telephone,may,mon,89,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
273,3,admin.,single,high.school,no,no,no,telephone,may,mon,611,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
276,3,services,married,high.school,no,no,no,telephone,may,mon,962,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
278,4,technician,single,basic.education,no,no,no,telephone,may,mon,10,4,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
279,5,retired,married,professional.course,no,no,no,telephone,may,mon,118,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
280,4,blue-collar,married,basic.education,no,no,no,telephone,may,mon,92,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
281,5,technician,married,basic.education,no,yes,no,telephone,may,mon,143,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
282,5,admin.,married,basic.education,no,no,no,telephone,may,mon,189,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
283,3,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,75,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
284,4,blue-collar,divorced,basic.education,no,yes,no,telephone,may,mon,189,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
285,4,blue-collar,divorced,basic.education,no,no,no,telephone,may,mon,55,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
286,3,housemaid,married,basic.education,no,yes,no,telephone,may,mon,935,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
287,3,admin.,single,high.school,no,yes,yes,telephone,may,mon,56,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
289,3,services,married,high.school,no,no,no,telephone,may,mon,225,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
290,4,management,divorced,university.degree,no,yes,no,telephone,may,mon,125,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
291,3,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
293,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,164,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
294,3,technician,single,professional.course,no,yes,no,telephone,may,mon,98,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
295,4,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
296,4,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
297,3,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
298,3,services,divorced,high.school,no,no,no,telephone,may,mon,122,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
304,4,admin.,married,high.school,no,yes,no,telephone,may,mon,248,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
307,5,housemaid,divorced,basic.education,no,yes,yes,telephone,may,mon,205,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
308,4,admin.,married,university.degree,no,yes,no,telephone,may,mon,261,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
309,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,83,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
310,5,management,divorced,university.degree,no,yes,no,telephone,may,mon,106,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
311,2,admin.,single,university.degree,no,no,no,telephone,may,mon,106,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
312,3,admin.,married,high.school,no,no,no,telephone,may,mon,108,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
316,3,admin.,divorced,high.school,no,no,no,telephone,may,mon,364,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
317,5,retired,married,basic.education,no,no,no,telephone,may,mon,136,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
318,4,blue-collar,married,basic.education,no,no,no,telephone,may,mon,173,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
319,4,services,married,high.school,no,yes,no,telephone,may,mon,241,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
320,5,management,single,basic.education,no,yes,no,telephone,may,mon,224,3,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
321,5,admin.,single,basic.education,no,yes,yes,telephone,may,mon,148,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
324,5,technician,married,professional.course,no,yes,yes,telephone,may,mon,196,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
325,4,housemaid,single,professional.course,no,no,no,telephone,may,mon,111,4,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
